25 20
#############
#...........#    ########
#...s...s...######......#
#....................G..#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #...G..#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #.A..A.#
  #.......#      #......#
  #########       ######
